"member_id","round_id","teamValue","inTotal","outTotal","tradesTotal","CumTrades","remaining","cashcheck"
72883,1,1385900,1385900,0,-1385900,-1385900,2500,2500
72884,1,1386300,1386300,0,-1386300,-1386300,2100,2100
72885,1,1387900,1387900,0,-1387900,-1387900,500,500
72887,1,1347700,1347700,0,-1347700,-1347700,40700,40700
72889,1,1369400,1369400,0,-1369400,-1369400,19000,19000
72890,1,1346500,1346500,0,-1346500,-1346500,41900,41900
72891,1,1376500,1376500,0,-1376500,-1376500,11900,11900
72892,1,1384500,1384500,0,-1384500,-1384500,3900,3900
72893,1,1381600,1381600,0,-1381600,-1381600,6800,6800
72894,1,1380200,1380200,0,-1380200,-1380200,8200,8200
